Student_2;33.0;
Student_4;24.0;
Student_6;31.0;
Student_7;40.0;
Student_12;68.0;
Student_14;59.0;
Student_15;24.0;
Student_18;12.0;
Student_19;73.0;
Student_20;91.0;
Student_21;87.0;
Student_22;51.0;
Student_24;21.0;
Student_25;69.0;
Student_28;20.0;
Student_29;38.0;
Student_30;59.0;
Student_32;71.0;
Student_34;6.0;
Student_35;81.0;
Student_36;74.0;
Student_37;37.0;
Student_38;3.0;
Student_39;22.0;
Student_40;82.0;
Student_43;60.0;
Student_44;38.0;
Student_45;72.0;
Student_46;36.0;
Student_48;6.0;
Student_49;1.0;
Student_50;15.0;
Student_53;34.0;
Student_54;5.0;
Student_56;33.0;
Student_58;0.0;
Student_59;72.0;
Student_61;18.0;
Student_62;79.0;
Student_63;26.0;
Student_65;13.0;
Student_67;30.0;
Student_68;6.0;
Student_70;5.0;
Student_71;34.0;
Student_72;72.0;
Student_73;58.0;
Student_75;62.0;
Student_76;69.0;
Student_77;63.0;
Student_80;18.0;
Student_81;10.0;
Student_83;50.0;
Student_84;36.0;
Student_88;14.0;
Student_90;12.0;
Student_91;51.0;
Student_93;23.0;
Student_94;80.0;
Student_95;57.0;
Student_96;33.0;
Student_98;61.0;
Student_99;60.0;
Student_101;12.0;
Student_103;5.0;
Student_106;62.0;
Student_107;19.0;
Student_109;46.0;
Student_110;82.0;
Student_111;49.0;
Student_112;44.0;
Student_113;50.0;
Student_122;43.0;
Student_126;42.0;
Student_129;42.0;
Student_130;72.0;
Student_131;76.0;
Student_132;85.0;
Student_133;11.0;
Student_134;76.0;
Student_135;50.0;
Student_137;16.0;
Student_138;47.0;
Student_139;18.0;
Student_140;59.0;
Student_145;6.0;
Student_146;74.0;
Student_147;94.0;
Student_148;79.0;
Student_149;76.0;
Student_151;29.0;
Student_152;74.0;
Student_153;35.0;
Student_155;42.0;
Student_157;70.0;
Student_158;90.0;
Student_159;73.0;
Student_160;50.0;
Student_161;82.0;
Student_162;54.0;
Student_163;53.0;
Student_165;27.0;
Student_166;59.0;
Student_169;91.0;
Student_170;25.0;
Student_171;85.0;
Student_172;74.0;
Student_174;18.0;
Student_175;82.0;
Student_176;25.0;
Student_180;50.0;
Student_181;63.0;
Student_182;91.0;
Student_183;63.0;
Student_185;87.0;
Student_186;48.0;
Student_187;71.0;
Student_191;42.0;
Student_194;35.0;
Student_196;55.0;
Student_197;26.0;
Student_198;84.0;
Student_199;48.0;
Student_200;19.0;
Student_201;9.0;
Student_202;8.0;
Student_204;67.0;
Student_205;87.0;
Student_206;85.0;
Student_207;59.0;
Student_208;68.0;
Student_210;49.0;
Student_215;10.0;
Student_216;23.0;
Student_218;55.0;
Student_219;36.0;
Student_220;77.0;
Student_221;2.0;
Student_224;96.0;
Student_226;68.0;
Student_227;52.0;
Student_228;53.0;
Student_232;92.0;
Student_233;47.0;
Student_236;86.0;
Student_237;17.0;
Student_239;4.0;
Student_241;55.0;
Student_242;55.0;
Student_244;29.0;
Student_246;83.0;
Student_247;62.0;
Student_248;30.0;
Student_249;0.0;
Student_254;65.0;
Student_255;57.0;
Student_256;84.0;
Student_257;53.0;
Student_260;4.0;
Student_261;14.0;
Student_263;93.0;
Student_264;65.0;
Student_265;76.0;
Student_268;29.0;
Student_272;35.0;
Student_273;4.0;
Student_277;45.0;
Student_278;53.0;
Student_279;65.0;
Student_280;35.0;
Student_281;83.0;
Student_285;62.0;
Student_286;46.0;
Student_287;70.0;
Student_288;59.0;
Student_290;85.0;
Student_291;1.0;
Student_293;32.0;
Student_295;92.0;
Student_296;12.0;
Student_298;84.0;
Student_299;2.0;
Student_300;40.0;
Student_301;64.0;
Student_302;10.0;
Student_303;75.0;
Student_304;10.0;
Student_306;13.0;
Student_307;51.0;
Student_308;39.0;
Student_310;65.0;
Student_312;82.0;
Student_314;65.0;
Student_315;81.0;
Student_317;53.0;
Student_319;43.0;
Student_320;4.0;
Student_321;25.0;
Student_323;73.0;
Student_325;38.0;
Student_326;26.0;
Student_327;77.0;
Student_328;81.0;
Student_329;60.0;
Student_330;0.0;
Student_333;0.0;
Student_336;75.0;
Student_337;34.0;
Student_338;51.0;
Student_339;46.0;
Student_340;7.0;
Student_341;13.0;
Student_342;50.0;
Student_345;33.0;
Student_347;66.0;
Student_348;84.0;
Student_349;29.0;
Student_351;87.0;
Student_353;37.0;
Student_355;33.0;
Student_356;62.0;
Student_357;2.0;
Student_358;1.0;
Student_359;14.0;
Student_360;68.0;
Student_361;62.0;
Student_364;13.0;
Student_365;20.0;
Student_366;80.0;
Student_367;83.0;
Student_369;21.0;
Student_370;25.0;
Student_371;45.0;
Student_375;32.0;
Student_376;73.0;
Student_377;5.0;
Student_378;61.0;
Student_379;43.0;
Student_382;53.0;
Student_384;66.0;
Student_385;27.0;
Student_386;48.0;
Student_387;19.0;
Student_389;48.0;
Student_390;31.0;
Student_391;81.0;
Student_392;8.0;
Student_393;74.0;
Student_394;30.0;
Student_395;3.0;
Student_396;27.0;
Student_397;75.0;
Student_399;83.0;
Student_400;70.0;
Student_402;65.0;
Student_403;27.0;
Student_405;57.0;
Student_406;89.0;
Student_407;41.0;
Student_408;34.0;
Student_410;74.0;
Student_412;71.0;
Student_413;72.0;
Student_414;1.0;
Student_415;68.0;
Student_419;18.0;
Student_421;39.0;
Student_422;56.0;
Student_423;21.0;
Student_424;83.0;
Student_425;73.0;
Student_426;91.0;
Student_427;20.0;
Student_429;70.0;
Student_430;35.0;
Student_431;55.0;
Student_433;78.0;
Student_434;33.0;
Student_435;86.0;
Student_436;19.0;
Student_438;27.0;
Student_439;33.0;
Student_440;44.0;
Student_442;40.0;
Student_443;15.0;
Student_446;50.0;
Student_447;80.0;
Student_448;59.0;
Student_450;58.0;
Student_451;77.0;
Student_454;33.0;
Student_455;62.0;
Student_457;38.0;
Student_458;71.0;
Student_459;30.0;
Student_460;24.0;
Student_461;25.0;
Student_462;76.0;
Student_465;4.0;
Student_468;9.0;
Student_470;33.0;
Student_472;96.0;
Student_473;10.0;
Student_474;11.0;
Student_475;11.0;
Student_477;63.0;
Student_478;43.0;
Student_479;52.0;
Student_480;67.0;
Student_482;47.0;
Student_484;67.0;
Student_487;43.0;
Student_488;16.0;
Student_490;62.0;
Student_491;85.0;
Student_493;40.0;
Student_497;76.0;
Student_498;68.0;
Student_499;78.0;
