1.027272727272727337e+00 3.188303368864220388e-02
1.048484848484848575e+00 -2.171950796392430050e-03
1.090909090909090828e+00 -4.057745586333175170e-02
1.133333333333333304e+00 -5.581445109657162673e-02
1.154545454545454541e+00 -5.855846965997905940e-02
1.196969696969697017e+00 -5.864296527174608920e-02
1.324242424242424221e+00 -4.376143172053052061e-02
1.366666666666666696e+00 -3.823363403233301372e-02
1.472727272727272663e+00 -2.665037839584125101e-02
1.621212121212121327e+00 -1.594774908843579753e-02
1.727272727272727293e+00 -1.117322630753466231e-02
1.812121212121212244e+00 -8.488810990322436315e-03
1.854545454545454497e+00 -7.425294514379414748e-03
1.939393939393939448e+00 -5.721992294542721340e-03
2.045454545454545414e+00 -4.186069491902844573e-03
2.151515151515151825e+00 -3.105657006063430522e-03
2.278787878787878807e+00 -2.208496283447722221e-03
2.342424242424242742e+00 -1.874796030550260426e-03
2.363636363636363757e+00 -1.776834580528945584e-03
2.406060606060606233e+00 -1.598180686098195228e-03
2.448484848484848708e+00 -1.440044689272899090e-03
2.596969696969697150e+00 -1.013334603777424174e-03
2.639393939393939625e+00 -9.198186915071679143e-04
2.745454545454545592e+00 -7.267736550197567529e-04
2.787878787878788067e+00 -6.630695427600376149e-04
2.957575757575757525e+00 -4.655340374176802063e-04
3.000000000000000000e+00 -4.274735672416982114e-04
